count_mean	count_var	fitted_var
0.0156923	0.000492495	0.0156923
0.0156923	0.000492495	0.0156923
0.0156923	0.000492495	0.0156923
0.0156923	0.000492495	0.0156923
0.0157795	0.000497986	0.0157795
0.0157795	0.000497986	0.0157795
0.0157795	0.000497986	0.0157795
0.0157795	0.000497986	0.0157795
0.0174359	0.000608018	0.0174359
0.0175328	0.000614798	0.0175328
0.0175328	0.000614798	0.0175328
0.0184615	0.000681653	0.0184615
0.0187034	0.000699633	0.0187034
0.0187034	0.000699633	0.0187034
0.0187034	0.000699633	0.0187034
0.0187034	0.000699633	0.0187034
0.0196153	0.000769523	0.0196153
0.0197244	0.000778104	0.0197244
0.020923	0.000875546	0.020923
0.020923	0.000875546	0.020923
0.0210394	0.000885309	0.0210394
0.0210394	0.000885309	0.0210394
0.022004	0.000968351	0.022004
0.0224175	0.00100509	0.0224175
0.0233792	0.00109318	0.0233792
0.024142	0.00116567	0.024142
0.0242762	0.00117867	0.0242762
0.0249378	0.00124379	0.0249378
0.0261538	0.00136804	0.0261538
0.0262992	0.0013833	0.0262992
0.0262992	0.0013833	0.0262992
0.0285314	0.00162808	0.0285314
0.02869	0.00164624	0.02869
0.02869	0.00164624	0.02869
0.0313845	0.00196998	0.0313845
0.0313845	0.00196998	0.0313845
0.0313845	0.00196998	0.0313845
0.0314718	0.000495248	0.0314718
0.0314718	0.000495248	0.0314718
0.0314718	0.000495248	0.0314718
0.031559	0.00199195	0.031559
0.031559	0.00199195	0.031559
0.031559	0.00199195	0.031559
0.034241	0.000597013	0.034241
0.0343437	0.00235897	0.0343437
0.0343957	0.000605131	0.0343957
0.0343957	0.000605131	0.0343957
0.0343957	0.000605131	0.0343957
0.0343957	0.000605131	0.0343957
0.0344829	0.000607359	0.0344829
0.0344829	0.000607359	0.0344829
0.0344829	0.000607359	0.0344829
0.0353076	0.00249325	0.0353076
0.0354167	0.000651557	0.0354167
0.0355039	0.00252106	0.0355039
0.0366153	0.00268136	0.0366153
0.0374068	0.00279853	0.0374068
0.0383217	0.0029371	0.0383217
0.0392307	0.00307809	0.0392307
0.0394488	0.00311241	0.0394488
0.0394488	0.00311241	0.0394488
0.0399215	0.000901757	0.0399215
0.0407174	0.000954764	0.0407174
0.0415631	0.00345498	0.0415631
0.0415631	0.00345498	0.0415631
0.0448351	0.00402036	0.0448351
0.0450843	0.0040652	0.0450843
0.0450843	0.0040652	0.0450843
0.0467585	0.00437271	0.0467585
0.0469518	0.00145764	0.0469518
0.0470768	0.00443245	0.0470768
0.0471641	0.0014775	0.0471641
0.0471641	0.0014775	0.0471641
0.0471641	0.0014775	0.0471641
